symbol,effective_from,effective_to,instrument_type,classification_source,classification_confidence,classification_rule,observed_sector,pit_eligible_row_count,c5_loss_contribution,extreme_target_count,review_priority,review_reason
PK03TB280722,2022-05-11,2022-06-15,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK06TB021221,2021-11-24,2021-11-24,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK06TB031122,2022-05-12,2022-05-12,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK06TB100322,2021-10-20,2021-10-20,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK06TB181121,2021-10-12,2021-10-12,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK06TB301221,2021-07-16,2021-07-16,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK12TB020622,2021-06-07,2021-06-07,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK12TB160622,2021-07-23,2021-07-23,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PK12TB161123,2022-12-06,2022-12-06,government_security,observed_sector_rule,low,sector_exact:3610,3610,0,0.0,0,2,classification_rule_conflict|short_interval_or_maturity_like_ticker
PKGI,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,74,0.0,13,2,classification_rule_conflict|extreme_c4_target
PKGIR,2024-05-27,2024-06-07,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0812,0,0.0,1,2,classification_rule_conflict|extreme_c4_target|short_interval_or_maturity_like_ticker
PKGP,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0824,388,0.0004285630368449567,19,2,classification_rule_conflict|extreme_c4_target
PKGS,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0822,1454,0.0028954782734437827,0,2,classification_rule_conflict
PMRS,2020-01-03,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0826,0,0.0,10,2,classification_rule_conflict|extreme_c4_target
PNSC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0833,1312,0.00819098269130583,0,2,classification_rule_conflict
POL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0820,1576,0.0015808110468038565,0,2,classification_rule_conflict
POML,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0834,123,0.000589218963936221,4,2,classification_rule_conflict|extreme_c4_target
POWER,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0804,1525,0.005346318566916263,0,2,classification_rule_conflict
POWERPS,2020-09-21,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0804,0,0.0,1,2,classification_rule_conflict|extreme_c4_target
POWERR1,2020-08-10,2020-09-01,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0804,0,0.0,6,2,classification_rule_conflict|extreme_c4_target
PPL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0820,1576,0.004799843976371283,0,2,classification_rule_conflict
PPP,2020-01-07,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0822,203,0.001026036041962852,22,2,classification_rule_conflict|extreme_c4_target
PPVC,2020-01-06,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,0,0.0,4,2,classification_rule_conflict|extreme_c4_target
PQGTL,2026-02-10,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0812,62,0.0,0,2,classification_rule_conflict
PRET,2020-01-09,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,0,0.0,0,2,classification_rule_conflict
PRL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0825,1576,0.006290383932062458,0,2,classification_rule_conflict
PRLR1,2020-06-08,2020-06-30,right_or_entitlement,ticker_heuristic_historical_fallback,low,ticker_regex:right_or_entitlement,0825,0,0.0,8,2,classification_rule_conflict|extreme_c4_target
